product_category,product_colour,product_currency,product_description,product_link,product_name,product_price,product_region,product_size,product_time
Filles 6-36 mois,rose,€,Cette jupe à volants offre un look amusant pour la cour de récréation. Elle est agrémentée d'une étiquette logo 90s Versace Vintage sur le côté.,https://www.versace.com/fr/fr-fr/enfants-filles/jupe-90s-vintage-versace-logo-a1708/YA000138-YA00077_A1708.html?cgid=310000,Jupe 90s Vintage Versace Logo,135 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:54.643801
Filles 6-36 mois,imprimer,€,"Confectionnées en cuir de veau souple, ces sandales élégantes et féminines sont ornées de l'imprimé Barocco Signature.",https://www.versace.com/fr/fr-fr/enfants-filles/sandales-en-cuir-barocco-signature-ysggz/YGF00043-YB00308_YSGGZ.html?cgid=310000,Sandales en cuir Barocco Signature,220 €,France,"20,21,22,23,24,25,26",2020-03-30 20:01:54.681017
Filles 6-36 mois,rose,€,Cette robe à manches courtes en coton stretch arbore un imprimé de la signature manuscrite de Gianni Versace et une taille élastique à motif Greca.,https://www.versace.com/fr/fr-fr/enfants-filles/robe-a-motif-gv-signature-a1253/YA000142-YA00019_A1253.html?cgid=310000,Robe à motif GV Signature,160 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:54.716186
Filles 6-36 mois,noir,€,Ce sweat agrémenté d'un motif Medusa lamé doré offre un look amusant qui s'adapte à toutes les occasions. Il est rehaussé de la signature manuscrite de Gianni Versace.,https://www.versace.com/fr/fr-fr/enfants-filles/sweat-medusa-logo-a1008/YA000143-YA00077_A1008.html?cgid=310000,Sweat Medusa Logo,160 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:54.753535
Filles 6-36 mois,rose,€,Ce maillot de bain une pièce orné de l'imprimé Le Pop Classique se porte aussi bien à la plage qu'à la piscine. Le modèle est agrémenté de bretelles croisées.,https://www.versace.com/fr/fr-fr/enfants-filles/maillot-de-bain-a-imprime-le-pop-classique-a7252/YA000139-A233912_A7252.html?cgid=310000,Maillot de bain à imprimé Le Pop Classique,170 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:54.788078
Filles 6-36 mois,imprimer,€,"Confortable et coloré, ce pantalon de survêtement est orné de l'imprimé Le Pop Classique, un motif emblématique de la marque revisité dans des teintes fluorescentes. Le modèle possède une taille élastique à motif Greca et des bords-côtes de couleur contrastante.",https://www.versace.com/fr/fr-fr/enfants-filles/pantalon-survetement-imprime-le-pop-classique-a7480/YB000077-A232778_A7480.html?cgid=310000,Pantalon survêtement imprimé Le Pop Classique,205 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:55.152616
Filles 6-36 mois,rose,€,Cette veste à capuche rehaussée d'un imprimé Greca sur la manche se prête à toutes les activités en extérieur.,https://www.versace.com/fr/fr-fr/enfants-filles/veste-greca-a-capuche-a1251/YB000125-A232387_A1251.html?cgid=310000,Veste Greca à capuche,250 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:55.187971
Filles 6-36 mois,rose,€,L'emblématique imprimé Le Pop Classique est revisité dans des teintes fluorescentes sur ce sweat à capuche agrémenté d'une fermeture zippée sur le devant et de bords-côtes de couleur contrastante.,https://www.versace.com/fr/fr-fr/enfants-filles/hoodie-a-imprime-le-pop-classique-a7252/YA000060-A232778_A7252.html?cgid=310000,Hoodie à imprimé Le Pop Classique,245 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.055942
Filles 6-36 mois,imprimer,€,"Cette jupe plissée à imprimé Rose Jewel arbore une taille élastique à motif Greca pour une meilleure liberté de mouvement. Dans cette version plus douce de l'imprimé Jewel, de jolies fleurs sont mélangées aux emblématiques bijoux de la Maison.",https://www.versace.com/fr/fr-fr/enfants-filles/jupe-a-imprime-rose-jewel-a7361/YA000053-A232759_A7361.html?cgid=310000,Jupe à imprimé Rose Jewel,205 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.101366
Filles 6-36 mois,blanc,€,Ce t-shirt ras-du-cou en coton stretch est orné d'un motif Palm Springs Kids et de boutons dorés sur l'épaule pour un look coloré de tous les jours.,https://www.versace.com/fr/fr-fr/enfants-filles/t-shirt-a-motif-palm-springs-kids-a1002/YA000152-YA00019_A1002.html?cgid=310000,T-shirt à motif Palm Springs Kids',110 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:56.161376
